Is Managed,Manufacturer,Model,CPP BW,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
TRUE,HP,LaserJet MFP M527,0.014,MXBCKC219M,10.157.59.51,48-BA-4E-DB-3C-08,2308214_000905,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,13455,13455,,188.37,0.514436943
FALSE,HP,LaserJet MFP M527,0.014,MXCCKD31ZD,10.157.20.50,48-BA-4E-DA-B5-B9,2308214_000905,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,31339,31339,,438.746,14.65320071
FALSE,HP,LaserJet P2055dn,0.0173,CNB9N04412,10.157.48.59,00-21-5A-80-51-43,20080718,,,,,,,
TRUE,HP,LaserJet P2055x,0.0173,JPBF969460,10.157.41.50,08-2E-5F-BD-40-8F,20101025,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,10261,10261,0,177.5153,0.48501353
TRUE,HP,LaserJet P4515,0.0173,CNDY323861,10.157.49.101,00-1F-29-23-68-0C,04.044.0,,,,,,,
TRUE,HP,LaserJet Pro M428f-M429f,0.0173,MXBPM892FS,10.157.49.107,80-E8-2C-A9-BD-12,TETONXXXXN002.1916A.00,8/31/2019 5:17:19 PM,10/10/2019 1:18:34 PM,17,17,0,0.2941,0.007383103
TRUE,SHARP,AR-M237,0.0125,6504445700,10.157.59.69,08-00-1F-F5-46-D3,05.00.02,12/22/2018 5:17:45 PM,7/17/2019 9:17:59 AM,181011,181011,,2262.6375,10.94823738
TRUE,SHARP,AR-M355N,0.0125,6500668300,10.157.59.57,08-00-1F-D5-66-08,n1.17,,,,,,,
TRUE,SHARP,MX-4111N,0.009,1501152800,10.157.52.52,28-84-FA-8F-0B-39,08m20.R1,10/9/2018 9:17:15 AM,10/10/2019 1:18:34 PM,333115,273732,59383,2463.588,6.728034178
FALSE,SHARP,MX-4111N,0.009,1503385700,10.157.59.57,68-79-ED-74-72-6C,08.20.R1,10/9/2018 5:17:46 AM,10/10/2019 1:18:34 PM,641258,329236,312022,2963.124,8.088588279
TRUE,SHARP,MX-4111N,0.009,3502159300,10.157.49.99,34-F6-2D-36-37-C3,08.20.R1,10/9/2018 5:17:24 AM,10/10/2019 1:18:34 PM,422014,239302,182712,2153.718,5.879108017
TRUE,SHARP,MX-M1055,0.009,6500428Y00,10.157.49.81,24-31-84-E8-98-5B,01.02.h4,,,,,,,
TRUE,SHARP,MX-M1055,0.009,6500429Y00,10.157.49.80,24-31-84-E8-98-59,01.02.h4,,,,,,,
TRUE,SHARP,MX-M260,0.01,0503508X00,10.157.56.52,A0-DD-E5-6A-FB-90,01.08.00,10/9/2018 1:17:32 PM,1/23/2019 1:18:17 PM,230818,230818,,2308.18,21.77517603
TRUE,SHARP,MX-M260,0.01,1501049900,10.157.51.52,68-79-ED-74-B2-F2,01.08.00,10/9/2018 1:17:32 PM,1/28/2019 9:17:38 AM,21705,21705,,217.05,1.958344638
TRUE,SHARP,MX-M260,0.01,9504055800,10.157.55.53,00-22-F3-9C-D5-56,01.00.00,10/9/2018 1:17:32 PM,12/3/2018 9:17:38 AM,209878,209878,,2098.78,38.27557463
TRUE,SHARP,MX-M260,0.01,9504056800,10.157.57.52,00-22-F3-9C-D3-EE,01.00.00,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,294745,294745,,2947.45,8.053126287
TRUE,SHARP,MX-M264N,0.01,2502564600,10.157.53.52,78-1C-5A-38-56-60,u5.00.c1,10/9/2018 1:17:32 PM,1/29/2019 1:18:17 PM,114566,114566,,1145.66,10.22905957
TRUE,SHARP,MX-M264N,0.01,2504972Y00,10.157.57.54,78-1C-5A-CC-35-3F,u2.01.c1,10/9/2018 5:17:46 AM,10/10/2019 1:18:34 PM,118603,118603,,1186.03,3.237565609
TRUE,SHARP,MX-M3070,0.0075,7500289Y00,10.157.18.52,34-5A-06-19-DC-C0,02.01.z1.00,9/12/2019 5:17:29 PM,10/10/2019 1:18:34 PM,3557,3557,,26.6775,0.958447148
TRUE,SHARP,MX-M3070,0.0075,7500679X00,10.157.49.85,80-38-96-CA-D0-C9,02.01.z1.00,1/23/2019 5:17:48 PM,10/10/2019 1:18:34 PM,27414,27414,,205.605,0.791294081
TRUE,SHARP,MX-M3070,0.0075,7500805X00,10.157.16.51,80-38-96-EC-30-59,03.00.z1.00,6/4/2019 1:17:33 PM,10/10/2019 1:18:34 PM,8213,8213,,61.5975,0.481227814
TRUE,SHARP,MX-M3070,0.0075,8500537000,10.157.51.52,F0-9F-FC-00-C1-DA,03.00.z1.00,1/28/2019 1:17:35 PM,10/10/2019 1:18:34 PM,2445,2445,,18.3375,0.071911572
TRUE,SHARP,MX-M3070,0.0075,8500547000,10.157.56.52,F0-9F-FC-00-C1-94,03.00.z1.00,1/23/2019 5:17:48 PM,10/10/2019 1:18:34 PM,20298,20298,,152.235,0.585893604
TRUE,SHARP,MX-M3070,0.0075,8500564000,10.157.53.52,F0-9F-FC-00-C1-89,03.00.z1.00,1/29/2019 5:17:49 PM,10/10/2019 1:18:34 PM,11081,11081,,83.1075,0.327409046
TRUE,SHARP,MX-M3070,0.0075,8500862900,10.157.55.53,34-5A-06-F7-B7-C4,03.00.z1.00,12/3/2018 1:17:31 PM,10/10/2019 1:18:34 PM,11358,11358,,85.185,0.27390611
TRUE,SHARP,MX-M3570,0.0075,7501219X00,10.157.57.58,80-38-96-EC-32-55,01.01.z1.0a,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,36625,36625,,274.6875,0.750510824
TRUE,SHARP,MX-M363N,0.0075,0504909X00,10.157.43.52,A0-DD-E5-AE-2B-9C,03.04.j3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,280229,280229,,2101.7175,5.742386282
